Trends in Number of COVID-19 Vaccinations in the US
Date generated: Wed May 12 2021 18:36:20 GMT-0400 (Eastern Daylight Time)
Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People with at least One Dose Cumulative,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Admin,2021-01-19,LTC,180336,131927,47707,2169759,2002233,149244,107484,125497,17334,null,null,47707,2002233,149244,17334
Admin,2021-01-20,US,1566439,1142400,404118,22081286,18369916,3327986,818513,1017514,187184,null,null,404130,18369916,3328636,187197
Report,2021-01-20,US,null,null,null,null,null,null,null,null,null,441318,808253,null,null,null,null
Admin,2021-01-20,LTC,191009,146720,43562,2360768,2148953,192806,107981,129939,21299,null,null,43562,2148953,192806,21299
Admin,2021-01-21,US,1580889,1301199,258488,23662175,19671115,3586474,843653,1061610,205621,null,null,258513,19671115,3587149,205635
Report,2021-01-21,US,null,null,null,null,null,null,null,null,null,1021093,797857,null,null,null,null
Admin,2021-01-21,LTC,144251,132674,10997,2505019,2281627,203803,107258,130354,22443,null,null,10997,2281627,203803,22442
Admin,2021-01-22,US,1576442,1359279,198445,25238617,21030394,3784919,882166,1112894,217666,null,null,198460,21030394,3785609,217679
Report,2021-01-22,US,null,null,null,null,null,null,null,null,null,1561585,884336,null,null,null,null
Admin,2021-01-22,LTC,127062,122108,4473,2632081,2403735,208276,108930,132376,22873,null,null,4473,2403735,208276,22872
Admin,2021-01-23,US,882690,729124,142533,26121307,21759518,3927452,906716,1148775,228308,null,null,142541,21759518,3928150,228321
Report,2021-01-23,US,null,null,null,null,null,null,null,null,null,1430031,925620,null,null,null,null
Admin,2021-01-23,LTC,96546,68037,28033,2728627,2471772,236309,110556,136968,25868,null,null,28033,2471772,236309,25867
Admin,2021-01-24,US,382021,294438,82601,26503328,22053956,4010053,912872,1161462,234457,null,null,82606,22053956,4010756,234470
Report,2021-01-24,US,null,null,null,null,null,null,null,null,null,1310665,990557,null,null,null,null
Admin,2021-01-24,LTC,63329,43637,19361,2791956,2515409,255670,110616,138999,27826,null,null,19362,2515409,255671,27825
Admin,2021-01-25,US,1311665,833441,460625,27814993,22887397,4470678,943680,1228483,269164,null,null,460638,22887397,4471394,269177
Report,2021-01-25,US,null,null,null,null,null,null,null,null,null,885588,1038776,null,null,null,null
Admin,2021-01-25,LTC,184758,125888,57803,2976714,2641297,313473,110142,141041,30277,null,null,57803,2641297,313474,30276
Admin,2021-01-26,US,1611735,1035582,554242,29426728,23922979,5024920,956495,1273125,300150,null,null,554257,23922979,5025651,300163
Report,2021-01-26,US,null,null,null,null,null,null,null,null,null,806751,1065290,null,null,null,null
Admin,2021-01-26,LTC,205063,133939,70400,3181777,2775236,383873,110429,144574,33518,null,null,70400,2775236,383874,33518
Admin,2021-01-27,US,1864150,1218392,617397,31290878,25141371,5642317,967351,1315656,330619,null,null,617411,25141371,5643062,330632
Report,2021-01-27,US,null,null,null,null,null,null,null,null,null,1111640,1161050,null,null,null,null
Admin,2021-01-27,LTC,212076,140768,70634,3393853,2916004,454507,109579,147583,37386,null,null,70634,2916004,454508,37386
Admin,2021-01-28,US,1894388,1345008,527075,33185266,26486379,6169392,973609,1360441,368988,null,null,527105,26486379,6170167,369002
Report,2021-01-28,US,null,null,null,null,null,null,null,null,null,1541048,1235330,null,null,null,null
Admin,2021-01-28,LTC,190731,118625,71401,3584584,3034629,525908,107572,154223,46015,null,null,71401,3034629,525909,46015
Admin,2021-01-29,US,1844951,1337818,470417,35030217,27824197,6639809,970543,1398800,407841,null,null,470433,27824197,6640600,407855
Report,2021-01-29,US,null,null,null,null,null,null,null,null,null,1690979,1253815,null,null,null,null
Admin,2021-01-29,LTC,177847,114177,63159,3762431,3148806,589067,106439,161478,54399,null,null,63159,3148806,589068,54398
Admin,2021-01-30,US,992206,750334,229105,36022423,28574531,6868914,973573,1414445,420209,null,null,229107,28574531,6869707,420222
Report,2021-01-30,US,null,null,null,null,null,null,null,null,null,1693241,1291416,null,null,null,null
Admin,2021-01-30,LTC,96415,61029,34957,3858846,3209835,624024,105438,161459,55388,null,null,34957,3209835,624025,55388
Admin,2021-01-31,US,443339,319798,117472,36465762,28894329,6986386,977196,1423204,425190,null,null,117478,28894329,6987185,425204
Report,2021-01-31,US,null,null,null,null,null,null,null,null,null,1545397,1324949,null,null,null,null
Admin,2021-01-31,LTC,67491,42682,24482,3926337,3252517,648506,105301,162054,56119,null,null,24482,3252517,648507,56119
Admin,2021-02-01,US,1270427,720810,527913,37736189,29615139,7514299,961106,1417313,434803,null,null,528035,29615139,7515220,434832
Report,2021-02-01,US,null,null,null,null,null,null,null,null,null,1099103,1355451,null,null,null,null
Admin,2021-02-01,LTC,174334,88370,85052,4100671,3340887,733558,99941,160565,60012,null,null,85052,3340887,733559,60012
Admin,2021-02-02,US,1618953,938402,659782,39355142,30553541,8174081,947223,1418344,449880,null,null,659827,30553541,8175047,449913
Report,2021-02-02,US,null,null,null,null,null,null,null,null,null,558458,1319981,null,null,null,null
Admin,2021-02-02,LTC,188411,96504,90442,4289082,3437391,824000,94594,158186,62875,null,null,90442,3437391,824001,62875
Admin,2021-02-03,US,2063779,1240268,794228,41418921,31793809,8968309,950348,1446863,475142,null,null,794261,31793809,8969308,475178
Report,2021-02-03,US,null,null,null,null,null,null,null,null,null,1097394,1317946,null,null,null,null
Admin,2021-02-03,LTC,199879,101262,96843,4488961,3538653,920843,88950,156444,66619,null,null,96843,3538653,920844,66619
Admin,2021-02-04,US,2256466,1361076,868395,43675387,33154885,9836704,952644,1498588,523902,null,null,868442,33154885,9837750,523940
Report,2021-02-04,US,null,null,null,null,null,null,null,null,null,1325456,1287147,null,null,null,null
Admin,2021-02-04,LTC,203800,99593,103337,4692761,3638246,1024180,86231,158311,71182,null,null,103337,3638246,1024181,71181
Admin,2021-02-05,US,2263755,1330248,911313,45939142,34485133,10748017,951562,1558417,586887,null,null,911356,34485133,10749106,586929
Report,2021-02-05,US,null,null,null,null,null,null,null,null,null,1615502,1276364,null,null,null,null
Admin,2021-02-05,LTC,208559,110403,96590,4901320,3748649,1120770,85692,162698,75958,null,null,96590,3748649,1120771,75957
Admin,2021-02-06,US,1256130,840439,402861,47195272,35325572,11150878,964434,1596121,611709,null,null,402894,35325572,11152000,611756
Report,2021-02-06,US,null,null,null,null,null,null,null,null,null,2218752,1351437,null,null,null,null
Admin,2021-02-06,LTC,111062,60653,49619,5012382,3809302,1170389,85638,164790,78052,null,null,49619,3809302,1170390,78052
Admin,2021-02-07,US,432035,276927,148411,47627307,35602499,11299289,958310,1594506,616129,null,null,148427,35602499,11300427,616177
Report,2021-02-07,US,null,null,null,null,null,null,null,null,null,2172973,1441091,null,null,null,null
Admin,2021-02-07,LTC,65482,30165,34755,5077864,3839467,1205144,83850,164503,79520,null,null,34755,3839467,1205145,79519
Admin,2021-02-08,US,1498208,818148,665109,49125515,36420647,11964398,972215,1627046,635728,null,null,665148,36420647,11965575,635765
Report,2021-02-08,US,null,null,null,null,null,null,null,null,null,1206680,1456459,null,null,null,null
Admin,2021-02-08,LTC,161725,73276,87053,5239589,3912743,1292197,81694,162702,79806,null,null,87053,3912743,1292198,79805
Admin,2021-02-09,US,1884088,1018363,849448,51009603,37439010,12813846,983638,1664923,662824,null,null,849497,37439010,12815072,662860
Report,2021-02-09,US,null,null,null,null,null,null,null,null,null,788573,1489333,null,null,null,null
Admin,2021-02-09,LTC,169327,74785,93110,5408916,3987528,1385307,78591,159976,80187,null,null,93110,3987528,1385308,80186
Admin,2021-02-10,US,2199959,1198916,983091,53209562,38637926,13796937,977731,1684377,689804,null,null,983141,38637926,13798213,689843
Report,2021-02-10,US,null,null,null,null,null,null,null,null,null,1563780,1555959,null,null,null,null
Admin,2021-02-10,LTC,162446,61121,99415,5571362,4048649,1484722,72857,154628,80554,null,null,99415,4048649,1484723,80554
Admin,2021-02-11,US,2304898,1247528,1037113,55514460,39885454,14834050,961510,1691296,713907,null,null,1037170,39885454,14835383,713947
Report,2021-02-11,US,null,null,null,null,null,null,null,null,null,1620300,1598080,null,null,null,null
Admin,2021-02-11,LTC,159905,62525,96063,5731267,4111174,1580785,67561,148358,79515,null,null,96063,4111174,1580786,79515
Admin,2021-02-12,US,2484660,1347989,1107443,57999120,41233443,15941493,964044,1722854,741925,null,null,1107506,41233443,15942889,741969
Report,2021-02-12,US,null,null,null,null,null,null,null,null,null,2020288,1655907,null,null,null,null
Admin,2021-02-12,LTC,171520,84304,86118,5902787,4195478,1666903,63833,143066,78019,null,null,86118,4195478,1666904,78019
Admin,2021-02-13,US,1420874,846033,557761,59419994,42079476,16499254,964843,1746388,764054,null,null,557805,42079476,16500694,764099
Report,2021-02-13,US,null,null,null,null,null,null,null,null,null,2231326,1657703,null,null,null,null
Admin,2021-02-13,LTC,85373,42615,42281,5988160,4238093,1709184,61256,139396,76971,null,null,42281,4238093,1709185,76970
Admin,2021-02-14,US,563919,334544,219930,59983913,42414020,16719184,973074,1765229,774271,null,null,219940,42414020,16720634,774315
Report,2021-02-14,US,null,null,null,null,null,null,null,null,null,2242472,1667631,null,null,null,null
Admin,2021-02-14,LTC,53843,25053,27986,6042003,4263146,1737170,60526,137734,76004,null,null,27986,4263146,1737171,76003
Admin,2021-02-15,US,1120081,599512,501622,61103994,43013532,17220806,941841,1711211,750915,null,null,501678,43013532,17222312,750962
Report,2021-02-15,US,null,null,null,null,null,null,null,null,null,1376214,1691850,null,null,null,null
